parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
1,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
1,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
2,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
2,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
2,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
3,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
3,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
3,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
4,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
4,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
4,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
5,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
5,3,1629011,Mitchell Robinson,1610612752,rebounds,8,4,0.8,44.0,moderate
5,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
6,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
6,3,1629011,Mitchell Robinson,1610612752,rebounds,8,4,0.8,44.0,moderate
6,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
7,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
7,3,1629011,Mitchell Robinson,1610612752,rebounds,10,4,0.8,44.0,moderate
7,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
8,3,1626157,Karl-Anthony Towns,1610612752,rebounds,4,5,1.0,55.0,core
8,3,1629011,Mitchell Robinson,1610612752,rebounds,10,4,0.8,44.0,moderate
8,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
9,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
9,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
9,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
10,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
10,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
10,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
11,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
11,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
11,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
12,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
12,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
12,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
13,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
13,3,1629011,Mitchell Robinson,1610612752,rebounds,8,4,0.8,44.0,moderate
13,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
14,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
14,3,1629011,Mitchell Robinson,1610612752,rebounds,8,4,0.8,44.0,moderate
14,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
15,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
15,3,1629011,Mitchell Robinson,1610612752,rebounds,10,4,0.8,44.0,moderate
15,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
16,3,1626157,Karl-Anthony Towns,1610612752,rebounds,6,5,1.0,55.0,core
16,3,1629011,Mitchell Robinson,1610612752,rebounds,10,4,0.8,44.0,moderate
16,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
17,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
17,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
17,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
18,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
18,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
18,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
19,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
19,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
19,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
20,3,1626157,Karl-Anthony Towns,1610612752,rebounds,8,4,0.8,44.0,moderate
20,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
20,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
21,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
21,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
21,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
22,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
22,3,1629011,Mitchell Robinson,1610612752,rebounds,4,5,1.0,55.0,core
22,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
23,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
23,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
23,3,201566,Russell Westbrook,1610612758,threes,1,5,1.0,55.0,core
24,3,1626157,Karl-Anthony Towns,1610612752,rebounds,10,3,0.6,33.0,aggressive
24,3,1629011,Mitchell Robinson,1610612752,rebounds,6,5,1.0,55.0,core
24,3,201566,Russell Westbrook,1610612758,threes,2,5,1.0,55.0,core
