parlay_id,size,player_id,player,team_id,market,line,confidence,hit_rate_last_5,score,risk
1,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
1,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
1,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
1,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
1,5,1630573,Sam Hauser,1610612738,threes,1,5,1.0,55.0,core
2,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
2,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
2,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
2,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
2,5,1630573,Sam Hauser,1610612738,threes,2,5,1.0,55.0,core
3,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
3,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
3,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
3,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
3,5,1629029,Luka Dončić,1610612747,threes,2,5,1.0,55.0,core
4,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
4,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
4,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
4,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
4,5,1629029,Luka Dončić,1610612747,threes,3,5,1.0,55.0,core
5,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
5,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
5,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
5,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
5,5,1642273,Kyshawn George,1610612764,threes,1,5,1.0,55.0,core
6,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
6,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
6,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
6,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
6,5,1642273,Kyshawn George,1610612764,threes,2,5,1.0,55.0,core
7,5,1627759,Jaylen Brown,1610612738,points,15,5,1.0,55.0,core
7,5,1628378,Donovan Mitchell,1610612739,points,20,5,1.0,55.0,core
7,5,1627734,Domantas Sabonis,1610612758,rebounds,4,5,1.0,55.0,core
7,5,1642270,Donovan Clingan,1610612757,rebounds,6,5,1.0,55.0,core
